M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
02-Oct,"279,901","161,449","38,556",0,"27,699","57,381","13,984","20,908","16,905","118,452","3,892","112,206","33,533",218,"37,617","40,838","2,354","477,728","473,233","300,644","172,589",206,"167,064","62,064","5,195","56,395","41,912","43,410","5,319","4,495",942,"3,553",103,"2,906",600,4,335,"1,967",544,"757,629","521,970","473,233","300,644","172,589","4,495",942,"3,553","44,242","43,397",845
02-Nov,"281,181","162,071","38,594",0,"28,116","58,223","14,251","20,318","16,820","119,110","4,044","112,700","33,707",229,"37,649","41,115","2,366","480,078","475,555","301,737","173,818",208,"168,262","62,429","5,143","56,868","42,182","43,822","5,348","4,523",939,"3,584",104,"2,928",603,4,350,"1,971",552,"761,259","524,938","475,555","301,737","173,818","4,523",939,"3,584","44,860","43,972",888
02-Dec,"283,929","164,115","38,397",0,"29,519","59,219","14,558","20,101","16,879","119,814","4,202","113,235","33,911",238,"37,684","41,402","2,377","481,940","477,405","301,156","176,249",210,"170,661","62,698","5,058","58,658","43,469","44,247","5,378","4,535",921,"3,614",105,"2,950",607,4,365,"1,974",559,"765,869","527,540","477,405","301,156","176,249","4,535",921,"3,614","45,600","44,661",939
03-Jan,"282,275","164,164","38,129",0,"29,706","59,848","14,662","19,838","16,643","118,111","4,122","111,568","33,719",238,"36,915","40,696","2,421","484,388","479,830","302,528","177,302",212,"171,675","62,787","5,285","59,792","44,590","43,811","5,415","4,558",919,"3,639",106,"2,977",615,4,364,"1,994",556,"766,663","530,490","479,830","302,528","177,302","4,558",919,"3,639","46,102","45,186",916
03-Feb,"282,644","165,500","38,103",0,"30,030","60,955","14,882","19,880","16,532","117,144","4,049","110,634","34,142",233,"36,202","40,057","2,461","485,750","481,164","305,002","176,162",214,"170,501","63,121","5,500","58,462","43,797","43,418","5,447","4,586",932,"3,654",107,"2,993",616,3,363,"2,011",554,"768,394","532,744","481,164","305,002","176,162","4,586",932,"3,654","46,994","46,073",921
03-Mar,"283,969","168,297","38,633",0,"30,561","62,665","15,247","19,879","16,559","115,672","3,969","109,198","34,176",225,"35,446","39,351","2,505","486,720","482,103","305,558","176,545",216,"170,845","63,459","5,643","58,761","44,273","42,982","5,484","4,617",943,"3,674",108,"3,015",620,3,361,"2,031",551,"770,689","535,099","482,103","305,558","176,545","4,617",943,"3,674","48,379","47,418",961
03-Apr,"286,881","169,723","38,838",0,"30,988","63,407","15,496","19,907","16,583","117,158","4,401","110,249","34,289",248,"36,340","39,372","2,508","489,039","484,391","305,752","178,639",223,"172,931","63,941","5,729","60,124","45,544","43,137","5,485","4,648",945,"3,703",112,"3,044",620,3,385,"2,036",547,"775,920","537,897","484,391","305,752","178,639","4,648",945,"3,703","48,858","47,911",947
03-May,"289,952","171,121","38,974",0,"30,988","64,720","15,887","19,833","16,606","118,831","4,847","111,473","34,549",268,"37,262","39,394","2,511","492,441","487,762","308,353","179,409",231,"173,691","64,698","5,828","59,869","45,534","43,296","5,487","4,679",944,"3,735",116,"3,076",622,3,410,"2,041",543,"782,393","542,241","487,762","308,353","179,409","4,679",944,"3,735","49,800","48,833",967
03-Jun,"294,038","173,542","39,193",0,"31,764","65,980","16,268","19,880","16,725","120,496","5,279","112,703","34,848",287,"38,153","39,415","2,514","494,618","489,908","307,403","182,505",239,"176,778","65,793","5,791","61,743","47,214","43,451","5,488","4,710",941,"3,769",120,"3,110",627,3,434,"2,046",539,"788,656","545,313","489,908","307,403","182,505","4,710",941,"3,769","50,695","49,712",983
03-Jul,"297,916","176,158","39,267",0,"32,818","67,250","16,508","20,089","16,734","121,758","5,486","113,754","35,187",304,"38,586","39,677","2,518","500,623","495,857","310,399","185,458",243,"179,655","66,393","5,976","63,569","49,222","43,717","5,560","4,766",952,"3,814",122,"3,154",635,4,455,"2,060",538,"798,539","552,360","495,857","310,399","185,458","4,766",952,"3,814","51,737","50,742",995
