M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
15-Sep,"646,079","472,807","97,393",0,"78,187","248,834","68,516","19,605","28,788","173,272","26,077","137,332","65,031",724,"11,647","59,930","9,863","1,319,689","1,309,067","975,821","333,246",340,"327,631","171,285","24,823","21,378","12,179","110,145","5,275","10,622","3,019","7,603",402,"6,391","1,868",22,302,"4,199",810,"1,965,768","1,509,686","1,309,067","975,821","333,246","10,622","3,019","7,603","189,997","180,318","9,679"
15-Oct,"645,305","471,942","97,312",0,"77,822","248,410","68,489","19,625","28,773","173,363","26,087","137,394","65,053",743,"11,384","60,214","9,882","1,327,771","1,317,104","981,776","335,328",342,"329,786","172,222","25,652","21,610","12,292","110,302","5,200","10,667","3,058","7,609",405,"6,401","1,873",22,294,"4,212",803,"1,973,076","1,517,381","1,317,104","981,776","335,328","10,667","3,058","7,609","189,610","179,921","9,689"
15-Nov,"645,952","472,281","97,864",0,"78,499","247,585","68,445","19,501","28,832","173,671","26,098","137,673","65,282",770,"11,131","60,490","9,900","1,333,779","1,323,075","986,785","336,290",344,"330,820","172,888","25,591","21,888","12,432","110,453","5,126","10,704","3,081","7,623",407,"6,421","1,885",22,289,"4,225",795,"1,979,731","1,522,587","1,323,075","986,785","336,290","10,704","3,081","7,623","188,808","179,140","9,668"
15-Dec,"647,059","473,253","97,723",0,"80,321","246,665","68,371","19,614","28,930","173,806","26,108","137,779","65,350",786,"10,869","60,774","9,919","1,341,345","1,330,621","993,851","336,770",345,"331,374","173,712","24,803","22,249","12,622","110,610","5,051","10,724","3,101","7,623",409,"6,426","1,882",22,284,"4,238",788,"1,988,404","1,529,273","1,330,621","993,851","336,770","10,724","3,101","7,623","187,928","178,294","9,634"
16-Jan,"645,494","470,385","97,245","76,243","78,658","245,713","68,430","19,505","29,264","175,109","25,911","139,121","65,085",796,"10,733","62,507","10,077","1,345,114","1,334,337","995,603","338,734",346,"333,450","174,449","25,254","21,912","12,264","111,835","4,938","10,777","3,131","7,646",411,"6,442","1,889",23,276,"4,254",793,"1,990,608","1,531,972","1,334,337","995,603","338,734","10,777","3,131","7,646","186,858","177,283","9,575"
16-Feb,"645,085","468,328","97,196","76,095","76,757","245,541","69,379","19,192","29,642","176,757","25,728","140,804","65,256",814,"10,605","64,129","10,225","1,348,573","1,337,750","998,546","339,204",346,"334,027","175,299","24,269","21,479","11,847","112,980","4,831","10,823","3,145","7,678",414,"6,467","1,906",23,268,"4,270",797,"1,993,658","1,534,376","1,337,750","998,546","339,204","10,823","3,145","7,678","185,803","176,162","9,641"
16-Mar,"647,854","469,678","97,537","74,728","76,486","246,175","69,403","19,249","30,231","178,176","25,531","142,262","65,107",823,"10,470","65,862","10,383","1,352,884","1,342,014","1,000,502","341,512",347,"336,447","175,971","25,233","21,038","11,423","114,205","4,718","10,870","3,165","7,705",417,"6,486","1,918",23,259,"4,286",802,"2,000,738","1,539,359","1,342,014","1,000,502","341,512","10,870","3,165","7,705","186,475","176,772","9,703"
16-Apr,"651,044","471,811","97,807","74,871","78,269","246,237","69,677","19,405","30,093","179,233","25,444","143,328","65,375",830,"10,815","66,308","10,461","1,360,649","1,349,794","1,004,670","345,124",360,"340,054","177,102","25,952","21,407","11,273","115,593","4,710","10,855","3,170","7,685",414,"6,462","1,927",23,245,"4,267",809,"2,011,693","1,546,857","1,349,794","1,004,670","345,124","10,855","3,170","7,685","186,208","176,560","9,648"
16-May,"655,012","474,350","98,204","75,361","79,095","247,438","70,563","19,631","29,982","180,662","25,354","144,767","65,976",850,"11,173","66,768","10,541","1,368,577","1,357,759","1,010,374","347,385",374,"342,310","178,403","24,873","22,008","11,236","117,026","4,701","10,818","3,161","7,657",411,"6,430","1,930",24,229,"4,247",816,"2,023,589","1,555,167","1,357,759","1,010,374","347,385","10,818","3,161","7,657","186,590","176,875","9,715"
16-Jun,"658,189","476,665","98,856","76,101","80,045","248,230","70,750","19,683","29,851","181,524","25,267","145,638","66,042",861,"11,521","67,214","10,619","1,381,632","1,370,843","1,019,155","351,688",389,"346,606","179,617","26,000","22,575","11,164","118,414","4,693","10,789","3,154","7,635",408,"6,404","1,939",24,213,"4,228",823,"2,039,821","1,568,783","1,370,843","1,019,155","351,688","10,789","3,154","7,635","187,151","177,480","9,671"
16-Jul,"659,439","476,936","99,452","76,374","79,577","248,040","70,441","19,948","29,919","182,503","25,755","146,127","66,132",855,"11,797","67,343","10,621","1,391,846","1,381,050","1,026,853","354,197",386,"349,081","180,799","26,430","22,810","11,164","119,042","4,730","10,796","3,164","7,632",404,"6,397","1,946",25,205,"4,221",831,"2,051,285","1,579,129","1,381,050","1,026,853","354,197","10,796","3,164","7,632","187,283","177,599","9,684"
16-Aug,"658,986","475,082","99,046","76,220","79,553","246,706","69,561","19,921","29,856","183,904","26,242","147,040","66,641",856,"12,071","67,472","10,622","1,401,435","1,390,643","1,034,324","356,319",383,"351,170","181,368","26,681","23,451","11,368","119,670","4,766","10,792","3,158","7,634",401,"6,393","1,952",26,202,"4,213",840,"2,060,421","1,588,269","1,390,643","1,034,324","356,319","10,792","3,158","7,634","186,834","177,145","9,689"
16-Sep,"659,666","474,917","98,829","76,500","80,254","246,185","69,280","19,751","29,898","184,749","26,714","147,411","66,627",857,"12,330","67,597","10,624","1,410,279","1,399,501","1,041,758","357,743",381,"352,560","182,157","26,209","23,916","11,478","120,278","4,802","10,778","3,148","7,630",399,"6,383","1,951",27,199,"4,206",848,"2,069,945","1,596,891","1,399,501","1,041,758","357,743","10,778","3,148","7,630","186,612","176,905","9,707"
16-Oct,"661,048","475,635","99,162","76,707","80,012","246,600","69,724","19,591","30,270","185,413","26,876","147,897","67,058",848,"12,435","67,556","10,640","1,415,691","1,404,953","1,043,654","361,299",379,"356,105","182,905","26,648","23,709","11,018","122,843","4,815","10,738","3,142","7,596",397,"6,343","1,955",27,190,"4,171",856,"2,076,739","1,602,295","1,404,953","1,043,654","361,299","10,738","3,142","7,596","186,604","176,876","9,728"
16-Nov,"662,053","475,960","99,000","76,924","80,386","246,438","69,966","19,521","30,615","186,093","27,032","148,405","67,510",841,"12,537","67,517","10,656","1,421,582","1,410,882","1,047,214","363,668",377,"358,464","183,480","26,884","22,776","10,183","125,324","4,827","10,700","3,138","7,562",394,"6,305","1,962",27,179,"4,137",863,"2,083,635","1,607,758","1,410,882","1,047,214","363,668","10,700","3,138","7,562","186,176","176,472","9,704"
16-Dec,"665,986","479,246","99,007","76,884","82,868","246,340","70,678","19,879","31,152","186,740","27,194","148,874","67,890",866,"12,642","67,476","10,672","1,427,752","1,417,094","1,052,012","365,082",374,"359,868","183,749","26,406","21,824","9,323","127,889","4,840","10,658","3,136","7,522",391,"6,260","1,963",27,168,"4,102",871,"2,093,738","1,613,077","1,417,094","1,052,012","365,082","10,658","3,136","7,522","185,325","175,662","9,663"
17-Jan,"665,650","476,367","99,003","76,900","81,281","245,450","70,662","19,751","30,882","189,283","27,226","151,077","67,912",685,"12,626","69,854","10,980","1,431,531","1,420,702","1,059,796","360,906",365,"355,698","184,074","20,907","21,899","9,191","128,818","4,843","10,829","3,247","7,582",385,"6,322","1,997",25,157,"4,143",875,"2,097,181","1,615,895","1,420,702","1,059,796","360,906","10,829","3,247","7,582","184,364","174,788","9,576"
17-Feb,"666,751","474,825","99,034","76,675","79,461","245,606","71,001","20,023","30,701","191,926","27,256","153,412","68,064",740,"12,607","72,001","11,258","1,436,729","1,425,765","1,063,641","362,124",365,"356,914","184,184","21,356","21,716","8,935","129,658","4,845","10,964","3,319","7,645",384,"6,382","2,035",22,145,"4,180",879,"2,103,480","1,620,955","1,425,765","1,063,641","362,124","10,964","3,319","7,645","184,226","174,605","9,621"
17-Mar,"671,430","476,715","99,318","76,891","79,261","247,179","71,440","20,218","30,739","194,715","27,288","155,861","68,091",801,"12,590","74,379","11,566","1,441,861","1,430,767","1,067,719","363,048",366,"357,834","184,348","21,207","21,692","8,743","130,587","4,848","11,094","3,381","7,713",385,"6,445","2,072",19,133,"4,221",883,"2,113,291","1,627,310","1,430,767","1,067,719","363,048","11,094","3,381","7,713","185,449","175,739","9,710"
17-Apr,"673,565","477,940","99,749","77,435","80,357","247,313","71,322","20,341","30,180","195,625","27,229","156,758","68,600",834,"12,430","74,894","11,638","1,449,677","1,438,608","1,073,886","364,722",373,"359,457","185,126","21,537","21,805","8,719","130,989","4,892","11,069","3,361","7,708",392,"6,432","2,069",19,120,"4,224",884,"2,123,242","1,635,319","1,438,608","1,073,886","364,722","11,069","3,361","7,708","185,642","175,991","9,651"
17-May,"678,443","481,525","100,418","78,163","81,754","248,888","71,799","20,702","29,763","196,918","27,167","158,039","69,484",858,"12,270","75,427","11,712","1,457,832","1,446,769","1,080,356","366,413",380,"361,096","186,576","21,198","21,917","8,692","131,405","4,937","11,063","3,348","7,715",400,"6,429","2,075",19,108,"4,227",886,"2,136,275","1,644,634","1,446,769","1,080,356","366,413","11,063","3,348","7,715","186,802","177,089","9,713"
17-Jun,"681,794","484,670","101,108","79,143","82,662","250,453","72,174","21,138","29,309","197,124","27,108","158,232","69,317",861,"12,112","75,942","11,784","1,469,034","1,457,995","1,090,114","367,881",387,"362,513","188,217","20,814","21,675","8,517","131,807","4,981","11,039","3,331","7,708",408,"6,413","2,068",18,97,"4,230",887,"2,150,828","1,657,011","1,457,995","1,090,114","367,881","11,039","3,331","7,708","187,977","178,279","9,698"
17-Jul,"684,897","486,449","101,992","79,368","82,606","251,214","71,890","21,301","29,336","198,448","27,656","159,166","69,555",799,"12,453","76,359","11,626","1,478,812","1,467,750","1,099,248","368,502",393,"363,113","189,319","20,444","21,359","8,422","131,991","4,996","11,062","3,345","7,717",411,"6,417","2,083",14,91,"4,229",889,"2,163,709","1,667,851","1,467,750","1,099,248","368,502","11,062","3,345","7,717","189,039","179,324","9,715"
17-Aug,"686,400","485,896","101,952","80,178","82,557","250,607","71,621","21,558","29,222","200,504","28,203","160,832","70,475",797,"12,784","76,776","11,469","1,486,045","1,474,970","1,106,063","368,907",399,"363,497","190,381","19,940","21,000","8,310","132,176","5,011","11,075","3,346","7,729",413,"6,425","2,097",12,89,"4,227",891,"2,172,445","1,674,745","1,474,970","1,106,063","368,907","11,075","3,346","7,729","188,700","178,986","9,714"
17-Sep,"687,870","486,294","102,308","80,792","83,243","250,240","71,424","21,338","29,165","201,576","28,733","161,527","70,457",803,"13,087","77,180","11,316","1,492,270","1,481,180","1,111,839","369,341",404,"363,912","191,248","19,570","20,740","8,238","132,354","5,025","11,090","3,352","7,738",415,"6,430","2,106",11,87,"4,226",893,"2,180,140","1,680,783","1,481,180","1,111,839","369,341","11,090","3,352","7,738","188,513","178,816","9,697"
17-Oct,"687,934","486,193","103,017","81,343","82,763","249,902","71,543","21,172","29,339","201,741","28,666","161,635","70,964",804,"12,372","77,495","11,440","1,498,442","1,487,401","1,116,858","370,543",409,"365,075","192,551","19,492","20,623","8,179","132,409","5,059","11,041","3,359","7,682",416,"6,373","2,097",11,89,"4,176",893,"2,186,376","1,686,518","1,487,401","1,116,858","370,543","11,041","3,359","7,682","188,076","178,359","9,717"
17-Nov,"688,801","486,720","102,051","81,515","83,629","248,601","70,786","22,890","29,549","202,081","28,602","161,918","71,665",806,"11,647","77,800","11,561","1,503,613","1,492,617","1,121,143","371,474",415,"365,967","193,765","19,367","20,374","8,066","132,461","5,092","10,996","3,367","7,629",419,"6,316","2,082",11,95,"4,128",894,"2,192,414","1,691,095","1,492,617","1,121,143","371,474","10,996","3,367","7,629","187,482","177,815","9,667"
17-Dec,"690,207","488,396","102,270","81,526","84,709","248,593","70,994","22,994","29,830","201,811","28,535","161,591","71,815",816,"10,845","78,115","11,685","1,509,594","1,498,643","1,126,454","372,189",421,"366,642","194,658","19,315","20,153","7,964","132,516","5,126","10,951","3,379","7,572",421,"6,257","2,067",11,101,"4,078",894,"2,199,801","1,696,892","1,498,643","1,126,454","372,189","10,951","3,379","7,572","187,298","177,599","9,699"
18-Jan,"688,099","484,613","102,503","81,704","82,604","248,205","71,555","21,392","29,909","203,486","28,631","163,189","71,882",857,"10,935","79,515","11,666","1,511,844","1,501,146","1,127,284","373,862",424,"368,209","195,429","19,497","20,024","8,907","133,259","5,229","10,698","3,291","7,407",423,"6,091","2,016",11,100,"3,964",893,"2,199,943","1,698,143","1,501,146","1,127,284","373,862","10,698","3,291","7,407","186,299","176,650","9,649"
18-Feb,"688,763","483,025","102,650","81,385","80,239","248,027","71,853","21,990","30,119","205,738","28,717","165,372","72,701",888,"11,004","80,779","11,649","1,515,706","1,505,245","1,129,794","375,451",430,"369,700","196,495","19,411","19,864","9,828","133,930","5,321","10,461","3,209","7,252",426,"5,935","1,966",12,97,"3,860",891,"2,204,469","1,701,538","1,505,245","1,129,794","375,451","10,461","3,209","7,252","185,832","176,174","9,658"
18-Mar,"691,055","483,778","102,554","81,494","79,993","248,747","72,166","22,009","30,475","207,277","28,813","166,834","72,601",967,"11,087","82,179","11,630","1,519,089","1,508,880","1,131,864","377,016",436,"371,156","197,266","19,417","19,800","10,798","134,673","5,424","10,209","3,121","7,088",428,"5,770","1,919",12,93,"3,746",890,"2,210,144","1,705,357","1,508,880","1,131,864","377,016","10,209","3,121","7,088","186,268","176,581","9,687"
18-Apr,"692,794","484,256","102,641","82,088","80,373","248,637","72,401","22,012","30,593","208,538","28,734","168,140","73,672",974,"10,935","82,559","11,664","1,522,570","1,512,362","1,134,848","377,514",437,"371,696","198,438","19,253","19,201","10,603","134,804","5,381","10,208","3,132","7,076",432,"5,756","1,916",12,93,"3,735",888,"2,215,364","1,708,438","1,512,362","1,134,848","377,514","10,208","3,132","7,076","185,868","176,236","9,632"
18-May,"699,016","489,421","103,186","82,813","82,360","249,187","72,804","23,680","31,008","209,595","28,651","169,244","74,538",980,"10,773","82,953","11,700","1,526,907","1,516,712","1,138,231","378,481",436,"372,708","200,290","18,745","18,733","10,487","134,940","5,337","10,195","3,127","7,068",436,"5,745","1,918",12,92,"3,723",887,"2,225,923","1,712,911","1,516,712","1,138,231","378,481","10,195","3,127","7,068","186,004","176,383","9,621"
18-Jun,"702,899","492,493","103,819","83,358","83,582","250,089","73,415","23,711","31,292","210,406","28,572","170,100","75,162",989,"10,616","83,333","11,734","1,535,062","1,524,886","1,145,278","379,608",434,"373,880","202,377","18,500","17,932","10,178","135,071","5,294","10,176","3,120","7,056",440,"5,731","1,916",12,91,"3,712",885,"2,237,961","1,721,346","1,524,886","1,145,278","379,608","10,176","3,120","7,056","186,284","176,674","9,610"
18-Jul,"705,283","493,922","104,420","83,924","83,541","250,950","73,850","23,421","31,590","211,361","29,180","170,447","75,263",990,"10,878","83,316","11,734","1,542,518","1,532,251","1,150,316","381,935",436,"376,117","203,834","18,941","17,802","10,102","135,540","5,382","10,267","3,151","7,116",444,"5,784","1,937",12,94,"3,741",888,"2,247,801","1,729,221","1,532,251","1,150,316","381,935","10,267","3,151","7,116","186,703","177,100","9,603"
18-Aug,"707,502","494,700","105,076","84,728","83,750","250,538","73,323","23,486","31,850","212,802","29,788","171,280","75,839","1,000","11,142","83,299","11,734","1,548,603","1,538,271","1,154,508","383,763",437,"377,855","204,960","19,091","17,795","10,100","136,009","5,471","10,332","3,159","7,173",448,"5,834","1,952",13,100,"3,769",891,"2,256,105","1,735,391","1,538,271","1,154,508","383,763","10,332","3,159","7,173","186,788","177,215","9,573"
18-Sep,"710,551","496,604","105,645","85,189","84,523","250,993","73,848","23,261","32,182","213,947","30,376","171,837","76,149","1,004","11,401","83,283","11,734","1,553,903","1,543,493","1,158,294","385,199",438,"379,205","205,994","18,970","17,778","10,092","136,463","5,556","10,410","3,180","7,230",451,"5,885","1,969",13,106,"3,797",894,"2,264,454","1,740,651","1,543,493","1,158,294","385,199","10,410","3,180","7,230","186,748","177,145","9,603"
18-Oct,"711,132","496,848","105,932","85,605","84,200","250,988","73,595","23,218","32,510","214,284","30,314","172,213","76,336",981,"11,303","83,593","11,757","1,558,231","1,547,781","1,161,320","386,461",440,"380,403","207,107","19,359","17,674","10,121","136,263","5,618","10,450","3,162","7,288",456,"5,936","1,987",13,108,"3,828",896,"2,269,363","1,745,195","1,547,781","1,161,320","386,461","10,450","3,162","7,288","186,964","177,393","9,571"
18-Nov,"712,726","498,359","105,995","85,617","84,915","251,518","74,504","23,007","32,924","214,367","30,255","172,332","76,170","1,060","11,208","83,894","11,780","1,562,017","1,551,427","1,164,788","386,639",442,"380,518","207,557","19,271","17,621","10,180","136,069","5,679","10,590","3,282","7,308",461,"5,949","1,970",13,107,"3,859",898,"2,274,743","1,748,578","1,551,427","1,164,788","386,639","10,590","3,282","7,308","186,561","177,014","9,547"
18-Dec,"713,684","497,984","105,655","85,271","86,381","250,435","74,053","22,299","33,214","215,700","30,193","173,704","77,340","1,051","11,109","84,204","11,803","1,569,351","1,558,711","1,171,616","387,095",443,"380,911","208,144","19,377","17,521","10,211","135,869","5,741","10,640","3,265","7,375",467,"6,008","1,998",13,107,"3,890",900,"2,283,035","1,755,198","1,558,711","1,171,616","387,095","10,640","3,265","7,375","185,847","176,382","9,465"
19-Jan,"708,254","493,616","105,380","85,436","84,120","248,372","72,876","22,017","33,727","214,638","30,235","172,507","76,694","1,079","11,007","83,727","11,896","1,570,496","1,559,807","1,171,995","387,812",444,"381,603","208,952","18,988","17,121","9,854","136,542","5,765","10,689","3,260","7,429",471,"6,057","2,009",12,108,"3,928",901,"2,278,750","1,755,287","1,559,807","1,171,995","387,812","10,689","3,260","7,429","184,791","175,496","9,295"
19-Feb,"707,495","493,280","105,110","84,710","82,741","249,011","74,173","21,912","34,506","214,215","30,272","171,963","76,634","1,119","10,915","83,295","11,980","1,572,691","1,561,878","1,172,449","389,429",446,"383,196","209,914","19,366","16,765","9,523","137,151","5,787","10,813","3,327","7,486",474,"6,109","2,024",12,110,"3,963",903,"2,280,186","1,756,905","1,561,878","1,172,449","389,429","10,813","3,327","7,486","184,214","174,838","9,376"
19-Mar,"708,209","494,694","105,375","84,952","82,679","249,429","74,546","21,806","35,405","213,515","30,314","171,128","76,334","1,164","10,812","82,818","12,073","1,578,280","1,567,412","1,176,490","390,922",447,"384,664","210,773","19,782","16,285","9,119","137,824","5,811","10,868","3,316","7,552",478,"6,170","2,045",13,111,"4,001",904,"2,286,489","1,762,596","1,567,412","1,176,490","390,922","10,868","3,316","7,552","184,316","174,883","9,433"
19-Apr,"710,970","496,217","105,871","85,660","83,862","248,776","74,350","21,836","35,872","214,753","30,174","172,444","77,382","1,201","10,994","82,867","12,135","1,582,764","1,572,048","1,180,477","391,571",448,"385,446","211,448","19,833","16,324","8,989","137,841","5,677","10,716","3,253","7,463",469,"6,095","2,020",13,113,"3,949",899,"2,293,734","1,766,566","1,572,048","1,180,477","391,571","10,716","3,253","7,463","183,802","174,426","9,376"
19-May,"715,745","500,250","106,726","86,345","85,675","249,436","74,790","21,891","36,522","215,495","30,028","173,268","77,934","1,236","11,180","82,918","12,199","1,592,384","1,581,892","1,188,725","393,167",449,"387,178","212,769","20,269","16,281","8,811","137,859","5,540","10,492","3,126","7,366",459,"6,014","1,988",14,117,"3,895",893,"2,308,129","1,776,367","1,581,892","1,188,725","393,167","10,492","3,126","7,366","183,983","174,646","9,337"
19-Jun,"718,793","503,374","107,728","87,146","86,774","249,798","75,096","21,964","37,110","215,419","29,888","173,270","77,688","1,255","11,360","82,967","12,261","1,601,283","1,590,853","1,196,765","394,088",450,"388,232","213,965","20,192","16,199","8,613","137,876","5,406","10,430","3,148","7,282",449,"5,945","1,967",14,121,"3,843",888,"2,320,076","1,785,259","1,590,853","1,196,765","394,088","10,430","3,148","7,282","183,976","174,702","9,274"
19-Jul,"720,207","504,443","108,500","88,074","86,845","249,848","75,230","22,060","37,190","215,764","30,487","172,988","77,802","1,261","11,207","82,718","12,289","1,610,605","1,600,187","1,205,283","394,904",450,"389,056","215,116","20,168","16,204","8,669","137,568","5,398","10,418","3,142","7,276",452,"5,937","1,968",14,122,"3,833",887,"2,330,812","1,794,439","1,600,187","1,205,283","394,904","10,418","3,142","7,276","183,834","174,618","9,216"
19-Aug,"721,920","505,495","109,605","89,039","86,987","249,594","75,700","22,043","37,266","216,425","31,086","173,021","78,288","1,211","11,053","82,469","12,318","1,620,405","1,609,989","1,214,457","395,532",451,"389,691","215,985","20,320","16,126","8,678","137,260","5,390","10,416","3,156","7,260",455,"5,918","1,961",14,120,"3,823",887,"2,342,325","1,803,502","1,609,989","1,214,457","395,532","10,416","3,156","7,260","183,097","173,894","9,203"
19-Sep,"723,464","506,535","110,443","89,718","87,513","249,368","76,158","21,869","37,342","216,929","31,666","172,918","78,570","1,215","10,905","82,228","12,345","1,628,247","1,617,838","1,221,561","396,277",451,"390,444","216,986","20,243","16,253","8,801","136,962","5,382","10,409","3,156","7,253",459,"5,908","1,962",14,118,"3,814",886,"2,351,711","1,810,643","1,617,838","1,221,561","396,277","10,409","3,156","7,253","182,396","173,210","9,186"
19-Oct,"723,080","505,604","110,962","90,247","86,960","248,360","75,893","21,697","37,625","217,476","31,732","173,398","78,721","1,225","11,125","82,327","12,346","1,635,987","1,625,416","1,228,262","397,154",452,"391,312","218,198","20,445","16,017","8,461","136,652","5,390","10,571","3,208","7,363",462,"6,013","2,000",14,119,"3,880",888,"2,359,067","1,817,574","1,625,416","1,228,262","397,154","10,571","3,208","7,363","181,587","172,467","9,120"
19-Nov,"722,825","505,022","111,173","90,419","87,277","247,111","75,569","21,528","37,933","217,803","31,795","173,660","78,660","1,238","11,339","82,423","12,348","1,641,475","1,630,733","1,233,100","397,633",453,"391,782","219,237","20,554","15,638","8,046","136,353","5,398","10,742","3,278","7,464",465,"6,109","2,032",14,119,"3,944",890,"2,364,300","1,822,033","1,630,733","1,233,100","397,633","10,742","3,278","7,464","180,558","171,542","9,016"
19-Dec,"724,809","506,183","111,161","90,175","89,601","245,667","75,246","21,382","38,372","218,626","31,861","174,416","79,096","1,239","11,559","82,522","12,349","1,648,717","1,637,781","1,239,942","397,839",454,"391,979","220,069","20,612","15,255","7,635","136,043","5,406","10,936","3,349","7,587",468,"6,227","2,082",15,120,"4,010",892,"2,373,526","1,828,065","1,637,781","1,239,942","397,839","10,936","3,349","7,587","179,348","170,421","8,927"
20-Jan,"719,248","503,468","110,782","87,911","88,737","239,067","70,145","24,969","39,913","215,780","31,786","172,038","78,421","1,090","11,533","80,994","11,956","1,654,189","1,643,302","1,244,578","398,724",452,"392,609","220,343","20,851","15,384","7,904","136,031","5,663","10,887","3,342","7,545",496,"6,150","2,053",15,117,"3,965",899,"2,373,437","1,831,939","1,643,302","1,244,578","398,724","10,887","3,342","7,545","177,750","168,922","8,828"
20-Feb,"719,884","505,952","111,563","88,072","88,743","239,396","70,559","25,386","40,864","213,932","31,717","170,627","78,707",965,"11,389","79,566","11,588","1,660,036","1,649,342","1,249,558","399,784",454,"393,427","220,914","20,917","15,576","8,201","136,020","5,903","10,694","3,218","7,476",478,"6,091","2,038",15,115,"3,923",907,"2,379,920","1,837,687","1,649,342","1,249,558","399,784","10,694","3,218","7,476","177,651","168,837","8,814"
20-Mar,"711,507","499,858","110,833","87,789","83,623","241,559","71,319","23,547","40,296","211,649","31,642","168,812","78,747",819,"11,208","78,038","11,195","1,668,043","1,657,407","1,256,359","401,048",456,"394,432","221,655","20,856","15,913","8,575","136,008","6,160","10,636","3,214","7,422",477,"6,031","2,026",15,112,"3,878",914,"2,379,550","1,847,101","1,657,407","1,256,359","401,048","10,636","3,214","7,422","179,058","170,240","8,818"
20-Apr,"699,591","487,787","109,636","86,751","77,336","237,368","68,746","23,979","39,468","211,804","33,501","167,313","77,378",825,"11,143","77,967","10,990","1,677,745","1,667,186","1,265,602","401,584",457,"394,919","222,295","21,000","15,591","8,252","136,033","6,208","10,559","3,166","7,393",473,"6,002","2,015",15,110,"3,862",918,"2,377,336","1,854,945","1,667,186","1,265,602","401,584","10,559","3,166","7,393","177,200","168,622","8,578"
20-May,"695,548","484,068","109,064","86,687","77,764","233,849","66,821","24,081","39,310","211,480","33,940","166,763","76,980",826,"11,063","77,894","10,777","1,685,358","1,674,820","1,272,185","402,635",457,"395,919","223,600","21,089","15,172","7,879","136,058","6,259","10,538","3,175","7,363",478,"5,963","1,997",13,108,"3,845",922,"2,380,906","1,860,832","1,674,820","1,272,185","402,635","10,538","3,175","7,363","175,474","167,028","8,446"
20-Jun,"697,843","486,317","110,046","87,589","79,376","232,472","66,069","24,786","39,637","211,526","34,190","166,764","77,121",836,"10,984","77,823","10,572","1,695,316","1,684,804","1,280,567","404,237",458,"397,472","225,446","21,070","14,873","7,574","136,083","6,307","10,512","3,175","7,337",482,"5,929","1,981",13,106,"3,829",926,"2,393,159","1,870,093","1,684,804","1,280,567","404,237","10,512","3,175","7,337","174,777","166,403","8,374"
20-Jul,"698,203","486,921","111,522","88,864","79,001","231,502","65,732","25,006","39,890","211,282","34,787","165,895","76,421",786,"10,761","77,927","10,600","1,705,714","1,695,075","1,289,825","405,250",457,"398,458","226,547","21,642","14,710","6,917","135,559","6,335","10,639","3,278","7,361",498,"5,932","1,986",13,106,"3,827",931,"2,403,917","1,879,786","1,695,075","1,289,825","405,250","10,639","3,278","7,361","174,072","165,770","8,302"
20-Aug,"702,554","490,241","112,372","89,687","80,244","231,576","65,886","25,683","40,366","212,313","35,412","166,274","76,941",763,"10,538","78,032","10,627","1,717,884","1,707,312","1,301,799","405,513",457,"398,693","227,341","21,819","14,497","6,972","135,036","6,363","10,572","3,223","7,349",490,"5,924","1,982",13,105,"3,824",935,"2,420,438","1,891,874","1,707,312","1,301,799","405,513","10,572","3,223","7,349","173,990","165,690","8,300"
20-Sep,"704,491","491,731","112,940","90,504","79,342","232,466","66,099","26,289","40,694","212,760","36,025","166,081","76,936",690,"10,322","78,133","10,654","1,731,745","1,721,197","1,314,290","406,907",457,"400,060","228,283","21,901","15,347","7,055","134,529","6,390","10,548","3,204","7,344",487,"5,917","1,979",13,103,"3,822",940,"2,436,236","1,906,429","1,721,197","1,314,290","406,907","10,548","3,204","7,344","174,684","166,367","8,317"
20-Oct,"703,461","490,912","113,282","90,810","78,491","231,310","65,772","27,148","40,681","212,549","36,178","165,845","76,599",703,"10,667","77,876","10,526","1,745,761","1,735,205","1,328,568","406,637",458,"399,825","228,867","22,056","15,170","6,908","133,732","6,354","10,556","3,207","7,349",489,"5,917","1,984",12,99,"3,822",943,"2,449,222","1,919,546","1,735,205","1,328,568","406,637","10,556","3,207","7,349","173,785","165,538","8,247"
