AGE,KIDS,NET WORTH,INCOME,MARRIAGE,TRUE RISK TOLERANCE,RISK TOLERANCE SCORE
36,0,45379.888961,51118.862654,2,22.85387611888836,Moderate Risk
51,0,69395.398432,34079.241769,2,6.038572830332541,Very Low Risk
51,0,61214.177008,34079.241769,2,5.541859638358408,Very Low Risk
51,0,51479.559112,34079.241769,2,5.896654517360718,Very Low Risk
51,0,48269.206401,34079.241769,2,5.541859638358408,Very Low Risk
70,0,1405202.4494,40362.601971,1,1.3754732142999515,Very Low Risk
70,0,1237124.951,37061.175424,1,1.3878000000049535,Very Low Risk
63,0,2398671.9856,106497.63053,1,1.0018781930882787,Very Low Risk
63,0,2408002.7204,105432.65422,1,0.9991343358904752,Very Low Risk
63,0,2408002.7204,105432.65422,1,0.9991343358904752,Very Low Risk
63,0,2398671.9856,105432.65422,1,0.9949852559773518,Very Low Risk
63,0,2397646.744,105432.65422,1,0.9949863036020236,Very Low Risk
38,3,112569.4644,95847.867476,1,36.07915495656217,High Risk
38,3,118783.05029,95847.867476,1,36.07915495656217,High Risk
38,3,120232.887,95847.867476,1,36.07915495656217,High Risk
38,3,101177.89027,95847.867476,1,36.07915495656217,High Risk
38,3,116608.29523,95847.867476,1,36.08761240753019,High Risk
39,2,668271.16264,106497.63053,1,14.297587102452216,Low Risk
39,2,783740.30046,106497.63053,1,13.559961237236935,Low Risk
57,0,163935.10777,26624.407632,2,3.25796108077832,Very Low Risk
48,0,74418.047028,58573.696791,2,13.708589322004483,Low Risk
48,0,74407.691052,58573.696791,2,13.708589322004483,Low Risk
48,0,74418.047028,58573.696791,2,13.708589322004483,Low Risk
48,0,74407.691052,58573.696791,2,13.708589322004483,Low Risk
48,0,74407.691052,58573.696791,2,13.708589322004483,Low Risk
47,2,44116.45983,47923.933738,1,7.597955143968486,Low Risk
47,2,37902.873939,47923.933738,1,7.662426290243612,Low Risk
47,2,31689.288047,47923.933738,1,8.311958465763608,Low Risk
47,2,34796.080993,47923.933738,1,7.610772388553981,Low Risk
47,2,36856.920314,47923.933738,1,8.247252495004908,Low Risk
68,0,118539684.85,1682662.5624,1,0.7380990688181303,Very Low Risk
59,2,26432076.584,2843486.7351,1,4.3389006780724095,Very Low Risk
59,2,28896798.988,2843486.7351,1,4.3389006780724095,Very Low Risk
59,2,27177706.891,2843486.7351,1,4.3389006780724095,Very Low Risk
59,2,29216798.661,2843486.7351,1,4.3389006780724095,Very Low Risk
59,2,28988967.178,2843486.7351,1,4.3389006780724095,Very Low Risk
